student_id,grade,subject,topic,learning_style,device_type,past_quiz_score_avg,accuracy_percentage,avg_response_time_sec,num_attempts,learning_streak_days,engagement_score,hints_used,video_watch_pct,time_on_task_min,session_count_week,next_topic,recommended_difficulty,success_probability_bin,needs_revision
S247219,Grade_7,English,Vocabulary,auditory,laptop,62.46,60.36,83.8,3.0,3.0,0.532,1.0,50.65,34.9,2.0,Essay_Writing,medium,medium,0
S694401,Grade_12,Science,Electricity,visual,desktop,93.28,91.88,61.8,1.0,4.0,0.6781,,83.32,12.9,3.0,Light_Optics,hard,high,0
S660437,Grade_12,Science,Ecosystems,visual,desktop,38.22,23.1,66.1,6.0,7.0,0.2768,4.0,8.78,37.1,5.0,Chemical_Reactions,easy,low,1
S818090,Grade_8,Hindi,Patra_Lekhan,visual,tablet,69.57,56.99,80.0,3.0,0.0,0.389,2.0,39.67,30.5,3.0,Gadya,medium,medium,0
S955054,Grade_2,Hindi,Gadya,reading_writing,tablet,49.68,50.02,100.0,5.0,24.0,0.4198,2.0,32.57,37.7,12.0,Kavita,medium,low,1
S255058,Grade_7,Science,Motion,,tablet,68.99,67.9,62.7,4.0,24.0,0.576,3.0,58.17,27.1,13.0,Electricity,hard,high,0
S408125,Grade_12,Computer_Science,Data_Structures,reading_writing,tablet,97.78,89.19,64.3,2.0,1.0,0.6554,1.0,68.46,19.6,2.0,Algorithms,hard,high,0
S945757,Grade_6,History,Medieval_Period,kinesthetic,desktop,65.08,64.57,87.3,2.0,18.0,0.5777,1.0,33.61,17.0,8.0,World_Wars,medium,medium,0
S731251,Grade_3,General_Knowledge,Science_Tech,kinesthetic,desktop,51.13,45.12,105.9,3.0,7.0,0.3876,4.0,37.63,28.7,5.0,Current_Affairs,easy,low,1
S966202,Grade_7,Geography,Population,reading_writing,tablet,,,109.4,2.0,9.0,0.509,,55.78,20.0,6.0,Maps_Cartography,medium,medium,0
S931486,Grade_6,Science,Periodic_Table,auditory,desktop,69.13,56.91,111.5,4.0,0.0,0.3687,2.0,33.54,26.8,3.0,Electricity,medium,medium,1
S515598,Grade_12,General_Knowledge,Current_Affairs,reading_writing,tablet,79.55,73.95,102.0,4.0,5.0,0.5443,3.0,57.26,30.7,3.0,Science_Tech,medium,medium,1
S796901,Grade_5,English,Comprehension,reading_writing,mobile,52.02,55.79,88.4,3.0,0.0,0.4913,2.0,47.3,24.5,3.0,Essay_Writing,easy,medium,0
S629735,Grade_2,History,Freedom_Movement,kinesthetic,mobile,36.05,34.75,141.7,6.0,6.0,0.3546,4.0,43.29,39.1,5.0,Post_Independence,easy,low,1
S687417,Grade_4,History,Post_Independence,,desktop,49.1,35.39,,4.0,0.0,0.2777,3.0,19.39,34.8,3.0,Freedom_Movement,easy,low,1
S786780,Grade_1,General_Knowledge,Current_Affairs,auditory,tablet,62.45,60.92,141.5,3.0,3.0,0.5173,1.0,53.06,28.1,3.0,Science_Tech,medium,medium,0
S891161,Grade_10,Computer_Science,Databases,kinesthetic,mobile,65.46,69.35,85.1,4.0,11.0,0.4794,3.0,38.19,30.6,6.0,Web_Development,medium,medium,1
S407983,Grade_4,Science,Chemical_Reactions,visual,mobile,42.14,41.92,106.1,4.0,2.0,0.3073,4.0,29.23,40.6,3.0,Cells_Biology,easy,low,1
S553760,Grade_2,Mathematics,Number_Theory,reading_writing,desktop,36.27,31.53,105.7,5.0,0.0,0.3156,3.0,39.11,35.2,1.0,Statistics,easy,low,1
S155015,Grade_9,History,Medieval_Period,auditory,laptop,47.48,39.88,76.3,5.0,1.0,0.3378,4.0,25.3,41.2,1.0,World_Wars,easy,medium,1
S690465,Grade_12,Hindi,Vyakaran,kinesthetic,tablet,75.26,74.13,60.0,4.0,8.0,0.4065,3.0,26.18,22.9,5.0,Kavita,medium,medium,0
S359554,Grade_4,Computer_Science,Python_Basics,auditory,tablet,43.67,57.38,138.4,4.0,0.0,0.3176,2.0,29.24,29.3,1.0,Algorithms,easy,medium,1
S100960,Grade_10,Mathematics,Calculus,visual,mobile,65.86,61.63,76.6,2.0,8.0,0.4932,1.0,56.48,23.8,5.0,Number_Theory,medium,medium,0
S517508,Grade_8,General_Knowledge,Awards,visual,tablet,75.36,68.34,109.6,,4.0,0.5889,3.0,60.26,36.8,4.0,Sports,medium,medium,0
S149743,Grade_9,Mathematics,Algebra,reading_writing,tablet,58.8,44.84,67.2,3.0,1.0,0.3187,2.0,25.82,20.7,1.0,Statistics,easy,medium,1
S279251,Grade_5,English,Literature,kinesthetic,desktop,51.63,46.2,87.2,4.0,0.0,0.194,4.0,12.92,22.8,1.0,Essay_Writing,easy,low,1
S253306,,Mathematics,Calculus,kinesthetic,desktop,79.93,79.02,53.8,2.0,11.0,0.6256,0.0,52.34,23.4,7.0,Statistics,medium,high,0
S818672,Grade_4,History,Freedom_Movement,kinesthetic,mobile,26.58,25.06,111.9,5.0,10.0,0.3232,3.0,25.64,44.3,5.0,World_Wars,easy,low,1
S611140,Grade_8,Geography,Climate,auditory,tablet,61.63,64.01,83.2,4.0,4.0,0.3982,3.0,45.95,35.8,4.0,Population,medium,medium,0
S802446,Grade_4,Computer_Science,Data_Structures,reading_writing,desktop,46.46,48.16,105.3,4.0,2.0,0.4211,2.0,48.11,34.8,1.0,Databases,easy,medium,1
S621079,Grade_10,Geography,Climate,kinesthetic,,64.97,64.4,81.7,4.0,10.0,0.5513,1.0,65.7,32.2,7.0,Resources,medium,medium,0
S942647,,Mathematics,Number_Theory,auditory,desktop,72.36,65.05,103.5,4.0,17.0,0.5818,1.0,58.34,31.5,9.0,Algebra,medium,medium,1
S870077,Grade_11,General_Knowledge,Sports,kinesthetic,mobile,88.39,82.51,56.1,1.0,32.0,0.7534,1.0,64.97,5.5,16.0,Awards,hard,high,0
S215001,Grade_12,Geography,Maps_Cartography,auditory,mobile,56.99,56.73,71.6,5.0,9.0,0.4818,2.0,30.59,18.3,6.0,Physical_Geography,medium,medium,0
S247052,Grade_2,General_Knowledge,Awards,reading_writing,laptop,38.9,38.61,128.2,4.0,3.0,0.2919,2.0,33.47,37.1,3.0,Science_Tech,easy,low,1
S560846,,History,World_Wars,,mobile,49.75,52.54,123.3,4.0,2.0,0.3579,2.0,48.31,23.6,1.0,Freedom_Movement,easy,medium,1
S581140,,,Ecosystems,auditory,desktop,79.81,76.71,111.8,4.0,3.0,0.553,1.0,47.96,32.6,2.0,Cells_Biology,medium,medium,0
S943251,Grade_6,General_Knowledge,Science_Tech,visual,laptop,52.21,54.45,,3.0,1.0,0.4072,1.0,25.33,36.5,3.0,Awards,easy,medium,1
S967934,Grade_7,Mathematics,Number_Theory,visual,mobile,59.58,53.03,81.2,3.0,0.0,0.4007,3.0,50.12,27.3,1.0,Statistics,medium,medium,0
S968835,Grade_9,Hindi,Vyakaran,kinesthetic,mobile,53.32,54.86,83.3,5.0,19.0,0.5272,2.0,45.52,36.1,9.0,Gadya,medium,medium,1
S501465,Grade_12,History,World_Wars,visual,desktop,,41.57,55.0,3.0,4.0,0.3391,3.0,46.16,27.0,4.0,Post_Independence,easy,low,1
S606700,,Geography,Physical_Geography,visual,tablet,84.05,64.22,97.5,2.0,2.0,0.4344,2.0,55.07,27.1,2.0,Resources,medium,medium,0
S877722,Grade_2,General_Knowledge,Current_Affairs,reading_writing,desktop,40.03,41.69,122.6,4.0,2.0,0.3361,3.0,,,2.0,Sports,easy,low,1
S267038,Grade_2,English,Grammar,reading_writing,mobile,73.75,74.82,135.5,2.0,3.0,0.559,1.0,53.6,28.4,4.0,Comprehension,medium,medium,0
S557373,Grade_9,Science,Cells_Biology,kinesthetic,tablet,82.55,80.53,89.4,3.0,27.0,0.6039,0.0,49.98,26.4,12.0,Ecosystems,medium,high,0
S115590,Grade_4,General_Knowledge,Current_Affairs,auditory,tablet,67.45,57.4,112.5,4.0,23.0,0.5466,1.0,41.32,44.0,10.0,Science_Tech,medium,medium,1
S412905,Grade_11,English,Vocabulary,auditory,laptop,74.59,72.2,62.1,,28.0,0.7133,2.0,52.78,30.5,13.0,Essay_Writing,medium,high,0
S414708,Grade_10,Computer_Science,Web_Development,visual,tablet,64.75,62.79,87.8,4.0,4.0,0.3913,1.0,30.77,19.4,4.0,Networking,medium,medium,1
S576451,Grade_3,English,Essay_Writing,visual,desktop,23.38,20.17,109.1,4.0,0.0,0.2399,5.0,,32.7,1.0,Poetry,easy,low,1
S846341,Grade_9,Hindi,Vyakaran,reading_writing,mobile,61.79,62.99,51.3,4.0,2.0,0.4475,,39.85,26.3,1.0,Kavita,medium,medium,0
S520735,Grade_1,History,Freedom_Movement,auditory,tablet,47.37,35.53,136.8,5.0,18.0,0.3903,4.0,19.15,37.0,8.0,Post_Independence,medium,low,1
S153135,Grade_9,Science,Periodic_Table,kinesthetic,tablet,95.47,88.76,77.2,3.0,9.0,0.5074,2.0,42.6,26.3,4.0,Electricity,hard,high,0
S114224,Grade_6,Computer_Science,Networking,reading_writing,tablet,37.79,25.89,44.5,6.0,17.0,0.3304,4.0,14.32,47.2,10.0,Web_Development,easy,low,1
S701147,Grade_6,History,Freedom_Movement,kinesthetic,mobile,64.71,66.41,73.0,3.0,1.0,0.4211,3.0,58.8,19.4,1.0,World_Wars,medium,medium,0
S275666,Grade_11,Science,Chemical_Reactions,reading_writing,mobile,81.34,74.1,88.5,3.0,15.0,0.5787,2.0,45.94,27.4,7.0,Periodic_Table,medium,medium,0
S369477,Grade_8,General_Knowledge,Awards,reading_writing,desktop,,42.97,68.9,4.0,2.0,0.3392,2.0,30.48,30.8,3.0,Science_Tech,easy,low,1
S440485,Grade_10,History,Medieval_Period,reading_writing,desktop,67.38,53.85,72.9,5.0,3.0,0.4139,2.0,40.69,37.0,3.0,Freedom_Movement,medium,medium,1
S404540,Grade_11,Science,Light_Optics,reading_writing,mobile,90.85,68.08,70.2,2.0,0.0,0.4593,3.0,57.66,19.3,2.0,Chemical_Reactions,medium,medium,0
S463018,Grade_5,Science,Electricity,visual,desktop,45.68,38.84,75.0,5.0,10.0,0.3486,3.0,20.37,37.7,6.0,Chemical_Reactions,easy,low,1
S290578,Grade_1,Science,Periodic_Table,kinesthetic,laptop,42.84,47.34,146.8,5.0,2.0,0.4439,2.0,51.8,36.2,1.0,Chemical_Reactions,easy,medium,1
S131605,Grade_10,Computer_Science,Algorithms,visual,mobile,71.97,65.92,71.4,3.0,10.0,0.5323,2.0,84.41,26.9,5.0,Networking,medium,medium,0
S189067,Grade_10,Computer_Science,Data_Structures,reading_writing,laptop,89.11,83.32,90.4,3.0,6.0,0.6772,0.0,66.99,17.7,3.0,Databases,hard,high,0
S774416,Grade_10,Geography,Physical_Geography,reading_writing,tablet,78.4,79.72,38.2,2.0,,0.5085,2.0,57.34,23.0,3.0,Climate,medium,high,0
S360551,Grade_6,Mathematics,Number_Theory,reading_writing,tablet,61.64,55.88,115.1,3.0,12.0,0.4911,3.0,35.83,28.2,8.0,Algebra,medium,medium,0
S987964,Grade_7,Hindi,Vyakaran,visual,mobile,69.16,51.31,,3.0,12.0,0.3937,3.0,25.28,35.8,6.0,Gadya,medium,medium,1
S311856,Grade_8,History,World_Wars,reading_writing,tablet,71.38,60.78,80.4,4.0,6.0,0.4761,2.0,50.99,20.3,5.0,Post_Independence,medium,medium,0
S127803,Grade_8,General_Knowledge,Awards,kinesthetic,tablet,64.63,48.96,63.5,4.0,3.0,,3.0,29.04,26.8,4.0,Science_Tech,medium,medium,1
S466870,Grade_5,General_Knowledge,Awards,visual,tablet,38.63,25.87,90.4,4.0,4.0,0.3417,3.0,13.81,19.6,3.0,Sports,easy,low,1
S830576,Grade_12,History,World_Wars,visual,tablet,83.7,60.72,62.3,2.0,4.0,0.5118,2.0,48.66,19.0,4.0,Freedom_Movement,medium,medium,0
S442382,Grade_12,Geography,Physical_Geography,visual,mobile,,65.15,47.5,2.0,3.0,0.4694,3.0,32.8,11.6,2.0,Resources,medium,medium,0
S741474,Grade_12,Mathematics,Fractions,auditory,tablet,83.17,69.93,48.5,2.0,10.0,0.5336,2.0,51.36,18.7,7.0,Number_Theory,medium,medium,0
S681254,,English,Comprehension,kinesthetic,desktop,69.23,57.95,78.0,4.0,5.0,0.4,3.0,49.54,34.0,3.0,Essay_Writing,medium,medium,0
S659675,Grade_1,General_Knowledge,Awards,,laptop,37.6,40.84,110.1,3.0,11.0,0.4124,2.0,23.84,28.8,5.0,Science_Tech,easy,low,1
S397591,Grade_2,Geography,Maps_Cartography,auditory,,32.89,24.81,106.7,4.0,2.0,0.1637,5.0,16.88,35.1,2.0,Resources,easy,low,1
S575791,Grade_9,Hindi,Vyakaran,reading_writing,laptop,67.77,59.19,77.3,4.0,9.0,0.5211,2.0,57.82,21.9,6.0,Gadya,medium,medium,0
S483382,Grade_12,Computer_Science,Python_Basics,visual,mobile,83.15,59.44,40.3,3.0,6.0,0.4341,2.0,57.89,26.8,4.0,Data_Structures,medium,medium,0
S663974,Grade_2,Geography,Physical_Geography,visual,,50.29,44.16,84.7,3.0,0.0,0.3154,3.0,31.34,22.3,2.0,Climate,easy,low,1
S752990,Grade_5,Computer_Science,Algorithms,auditory,tablet,58.61,40.47,108.6,4.0,5.0,0.3091,2.0,41.88,18.2,,Networking,easy,low,1
S575687,Grade_4,Computer_Science,Algorithms,reading_writing,desktop,48.45,49.23,122.8,4.0,14.0,0.3955,3.0,11.63,37.3,8.0,Networking,medium,medium,1
S256958,Grade_3,English,Literature,reading_writing,laptop,69.21,57.54,107.9,4.0,20.0,0.4807,3.0,29.74,33.5,9.0,Comprehension,medium,medium,1
S783406,Grade_8,,Freedom_Movement,kinesthetic,laptop,85.74,72.58,71.4,3.0,2.0,0.4361,1.0,36.46,12.8,1.0,World_Wars,medium,high,0
S192349,Grade_3,Mathematics,Number_Theory,visual,laptop,42.8,41.0,106.6,3.0,1.0,0.317,2.0,22.44,31.3,1.0,Statistics,easy,low,1
S235035,Grade_8,,Cells_Biology,kinesthetic,mobile,54.98,60.47,100.4,2.0,8.0,0.5142,1.0,42.85,17.8,6.0,Periodic_Table,medium,medium,0
